Incidence and mortality trends by age
"10 registries, Both sexes, 6 cancers, All ages, by 30 year age groups"
"Indicator","Registry","Sex","Cancer","Age group",1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,
"Incidence","DE Lower Saxony","Female","Lung","0-29","","","","","","","","","","",0.0,0.3,0.2,0.2,0.1,0.2,0.1,0.3,0.3,0.4,"",
"Incidence","DE Lower Saxony","Female","Pancreas","60+","","","","","","","","","","",54.6,56.3,55.3,54.1,55.4,61.2,56.6,56.3,60.7,58.9,"",
"Incidence","DE Lower Saxony","Female","Pancreas","30-59","","","","","","","","","","",4.2,4.4,4.5,5.6,5.0,5.5,5.7,5.9,6.2,6.5,"",
"Incidence","DE Lower Saxony","Female","Pancreas","0-29","","","","","","","","","","",0.0,0.0,0.0,0.2,0.1,0.1,0.1,0.3,0.2,0.0,"",
"Incidence","DE Lower Saxony","Female","Stomach","60+","","","","","","","","","","",62.2,56.4,57.0,52.2,53.8,50.4,48.6,46.4,47.2,44.0,"",
"Incidence","DE Lower Saxony","Female","Stomach","30-59","","","","","","","","","","",6.3,6.2,5.3,6.2,6.6,6.3,6.5,6.4,6.9,6.3,"",
"Incidence","DE Lower Saxony","Female","Stomach","0-29","","","","","","","","","","",0.2,0.1,0.2,0.1,0.2,0.2,0.1,0.0,0.2,0.1,"",
"Incidence","DE Schleswig-Holstein","Male","Leukaemia","60+","","","","","",59.8,58.4,55.1,62.7,74.8,65.0,55.1,56.3,55.8,50.6,62.4,51.8,54.1,64.7,62.0,"",
"Incidence","DE Schleswig-Holstein","Male","Leukaemia","30-59","","","","","",10.2,8.1,9.2,10.1,9.9,11.6,9.5,8.3,8.7,8.4,6.1,7.0,9.2,11.5,10.6,"",
"Incidence","DE Schleswig-Holstein","Male","Leukaemia","0-29","","","","","",4.5,3.2,4.8,2.9,2.2,2.6,3.5,4.7,3.8,3.4,4.7,3.6,4.1,4.0,5.9,"",
"Incidence","DE Schleswig-Holstein","Male","Thyroid gland","60+","","","","","",6.5,5.1,7.0,5.4,5.9,6.4,4.0,5.0,6.1,5.7,8.8,6.7,5.7,6.5,6.4,"",
"Incidence","DE Schleswig-Holstein","Male","Thyroid gland","30-59","","","","","",2.6,2.1,2.4,1.6,4.4,2.5,2.3,2.9,2.8,3.0,2.8,3.8,3.5,3.3,3.6,"",
"Incidence","DE Schleswig-Holstein","Male","Thyroid gland","0-29","","","","","",0.4,0.9,0.2,0.9,0.2,0.2,0.4,0.2,0.5,0.7,0.7,0.2,0.0,0.9,0.7,"",
"Incidence","DE Schleswig-Holstein","Male","Melanoma of the skin","60+","","","","","",36.4,41.3,47.5,54.3,46.0,56.0,60.8,58.5,51.5,52.5,53.0,63.9,56.9,64.9,77.4,"",
"Incidence","DE Schleswig-Holstein","Male","Melanoma of the skin","30-59","","","","","",14.8,16.8,22.8,17.0,15.9,17.1,19.7,13.2,15.4,13.9,16.2,17.1,16.7,17.0,17.3,"",
"Incidence","DE Schleswig-Holstein","Male","Melanoma of the skin","0-29","","","","","",2.5,3.2,3.3,2.6,3.8,3.3,2.2,3.1,2.7,1.8,1.6,1.4,0.7,1.4,0.7,"",
"Incidence","DE Schleswig-Holstein","Male","Lung","60+","","","","","",347.1,350.2,356.0,337.4,353.3,342.9,326.5,341.5,321.5,338.4,322.7,331.5,332.8,334.6,315.5,"",
"Incidence","DE Schleswig-Holstein","Male","Lung","30-59","","","","","",54.4,51.6,48.2,48.6,43.1,41.9,51.1,40.3,41.4,41.2,44.0,42.0,41.9,40.1,42.0,"",
"Incidence","DE Schleswig-Holstein","Male","Lung","0-29","","","","","",0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.9,0.2,"",
"Incidence","DE Schleswig-Holstein","Male","Pancreas","60+","","","","","",64.0,59.1,64.2,59.3,66.9,64.0,72.6,69.6,63.7,61.7,65.7,68.8,73.7,77.1,69.3,"",
"Incidence","DE Schleswig-Holstein","Male","Pancreas","30-59","","","","","",10.0,7.1,7.6,7.1,8.6,7.7,8.3,7.3,7.5,7.5,8.3,8.0,7.8,6.7,8.8,"",
"Incidence","DE Schleswig-Holstein","Male","Pancreas","0-29","","","","","",0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",
"Incidence","DE Schleswig-Holstein","Male","Stomach","60+","","","","","",116.5,114.3,96.0,103.9,98.6,96.8,88.2,90.3,75.0,82.1,79.8,87.4,79.7,84.2,72.4,"",
"Incidence","DE Schleswig-Holstein","Male","Stomach","30-59","","","","","",14.5,13.1,12.1,9.7,12.7,10.3,10.8,11.4,13.4,10.3,11.6,11.7,11.2,14.8,12.7,"",
"Incidence","DE Schleswig-Holstein","Male","Stomach","0-29","","","","","",0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.5,0.2,0.2,0.2,0.0,0.2,0.0,0.2,"",
"Incidence","DE Schleswig-Holstein","Female","Leukaemia","60+","","","","","",40.3,39.9,40.2,43.6,50.3,43.6,32.4,41.9,36.1,34.3,37.8,32.3,34.5,41.5,41.6,"",
"Incidence","DE Schleswig-Holstein","Female","Leukaemia","30-59","","","","","",5.2,6.2,7.0,8.0,7.0,7.3,5.8,7.5,7.0,6.0,4.2,4.7,5.9,6.4,5.9,"",
"Incidence","DE Schleswig-Holstein","Female","Leukaemia","0-29","","","","","",3.8,1.6,3.0,3.5,2.8,3.7,3.9,5.1,3.5,4.2,4.2,3.3,4.0,2.2,3.5,"",
"Incidence","DE Schleswig-Holstein","Female","Thyroid gland","60+","","","","","",8.1,11.3,12.8,8.3,7.9,9.3,8.7,8.2,6.5,6.9,9.7,8.7,14.1,7.8,8.9,"",
"Incidence","DE Schleswig-Holstein","Female","Thyroid gland","30-59","","","","","",5.3,7.5,8.3,8.8,7.5,8.5,9.7,8.2,8.5,8.7,9.9,10.3,9.9,10.6,10.4,"",
"Incidence","DE Schleswig-Holstein","Female","Thyroid gland","0-29","","","","","",1.1,1.4,0.9,1.6,0.9,1.1,0.7,2.1,1.6,0.5,1.4,2.1,1.9,1.7,1.5,"",
"Incidence","DE Schleswig-Holstein","Female","Melanoma of the skin","60+","","","","","",32.0,35.9,35.9,40.6,33.9,39.2,43.3,40.4,38.9,37.4,43.5,36.7,38.7,43.8,46.7,"",
"Incidence","DE Schleswig-Holstein","Female","Melanoma of the skin","30-59","","","","","",21.2,25.7,25.5,28.0,25.8,33.2,31.1,21.3,18.5,22.8,24.3,26.1,25.4,25.9,24.8,"",
"Incidence","DE Schleswig-Holstein","Female","Melanoma of the skin","0-29","","","","","",4.7,4.8,4.6,8.0,5.7,8.3,5.1,4.6,4.4,2.1,5.9,4.0,4.8,4.9,2.7,"",
"Incidence","DE Schleswig-Holstein","Female","Lung","60+","","","","","",88.7,87.0,104.8,98.0,108.5,95.0,108.5,108.6,111.8,112.3,129.0,131.1,127.0,139.1,144.6,"",
"Incidence","DE Schleswig-Holstein","Female","Lung","30-59","","","","","",20.6,24.7,22.9,28.9,25.8,28.4,27.9,26.0,29.1,27.5,32.1,31.8,35.9,35.2,31.1,"",
"Incidence","DE Schleswig-Holstein","Female","Lung","0-29","","","","","",0.2,0.2,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.2,0.0,0.2,0.5,0.0,"",
"Incidence","DE Schleswig-Holstein","Female","Pancreas","60+","","","","","",56.2,53.2,55.8,58.4,57.5,54.4,53.5,60.7,66.1,60.3,60.7,62.3,64.2,64.6,68.2,"",
"Incidence","DE Schleswig-Holstein","Female","Pancreas","30-59","","","","","",5.7,4.5,4.0,4.7,4.8,5.7,6.5,5.2,5.2,4.7,5.0,6.0,8.3,6.4,6.7,"",
"Incidence","DE Schleswig-Holstein","Female","Pancreas","0-29","","","","","",0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.2,0.0,0.5,0.0,0.0,"",
"Incidence","DE Schleswig-Holstein","Female","Stomach","60+","","","","","",66.1,72.4,70.4,65.4,59.2,59.5,55.9,50.8,55.3,55.5,50.5,44.5,44.9,45.2,43.7,"",
"Incidence","DE Schleswig-Holstein","Female","Stomach","30-59","","","","","",9.0,7.8,7.3,6.7,6.3,7.7,8.0,6.5,6.5,6.7,7.2,6.2,5.9,4.7,6.2,"",
"Incidence","DE Schleswig-Holstein","Female","Stomach","0-29","","","","","",0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,"",
"Incidence","DE Hessen","Male","Leukaemia","60+","","","","","","","","","","","","","","","",53.1,50.4,49.9,43.8,52.0,52.3,
"Incidence","DE Hessen","Male","Leukaemia","30-59","","","","","","","","","","","","","","","",7.3,6.6,5.1,4.9,5.2,5.3,
"Incidence","DE Hessen","Male","Leukaemia","0-29","","","","","","","","","","","","","","","",3.4,2.9,2.3,3.7,4.4,2.0,
"Incidence","DE Hessen","Male","Thyroid gland","60+","","","","","","","","","","","","","","","",8.4,7.1,6.1,6.3,7.5,6.2,
"Incidence","DE Hessen","Male","Thyroid gland","30-59","","","","","","","","","","","","","","","",6.1,7.1,5.6,5.0,4.8,4.9,
"Incidence","DE Hessen","Male","Thyroid gland","0-29","","","","","","","","","","","","","","","",1.3,0.3,0.6,0.8,1.2,1.1,
"Incidence","DE Hessen","Male","Melanoma of the skin","60+","","","","","","","","","","","","","","","",77.6,77.8,76.7,82.2,79.9,79.8,
"Incidence","DE Hessen","Male","Melanoma of the skin","30-59","","","","","","","","","","","","","","","",21.3,19.9,19.9,19.9,21.7,21.1,
"Incidence","DE Hessen","Male","Melanoma of the skin","0-29","","","","","","","","","","","","","","","",3.8,1.9,1.3,2.2,1.5,2.6,
"Incidence","DE Hessen","Male","Lung","60+","","","","","","","","","","","","","","","",295.5,273.2,276.7,276.3,267.8,258.9,
"Incidence","DE Hessen","Male","Lung","30-59","","","","","","","","","","","","","","","",33.5,31.1,29.4,29.6,29.3,24.1,
"Incidence","DE Hessen","Male","Lung","0-29","","","","","","","","","","","","","","","",0.5,0.3,0.1,0.4,0.1,0.0,
"Incidence","DE Hessen","Male","Pancreas","60+","","","","","","","","","","","","","","","",71.3,72.7,68.2,74.0,71.3,73.7,
"Incidence","DE Hessen","Male","Pancreas","30-59","","","","","","","","","","","","","","","",6.6,8.9,6.9,6.7,7.8,7.5,
"Incidence","DE Hessen","Male","Pancreas","0-29","","","","","","","","","","","","","","","",0.1,0.1,0.0,0.3,0.0,0.0,
"Incidence","DE Hessen","Male","Stomach","60+","","","","","","","","","","","","","","","",91.3,76.5,74.4,71.7,67.1,66.2,
"Incidence","DE Hessen","Male","Stomach","30-59","","","","","","","","","","","","","","","",9.8,9.2,9.6,8.6,9.2,7.7,
"Incidence","DE Hessen","Male","Stomach","0-29","","","","","","","","","","","","","","","",0.6,0.3,0.0,0.0,0.2,0.2,
"Incidence","DE Hessen","Female","Leukaemia","60+","","","","","","","","","","","","","","","",36.6,34.4,32.5,33.5,35.3,30.8,
"Incidence","DE Hessen","Female","Leukaemia","30-59","","","","","","","","","","","","","","","",4.5,4.9,4.3,3.6,3.1,4.1,
"Incidence","DE Hessen","Female","Leukaemia","0-29","","","","","","","","","","","","","","","",3.7,2.9,2.1,3.3,2.5,2.1,
"Incidence","DE Hessen","Female","Thyroid gland","60+","","","","","","","","","","","","","","","",15.0,11.9,14.5,12.7,13.6,11.7,
"Incidence","DE Hessen","Female","Thyroid gland","30-59","","","","","","","","","","","","","","","",15.4,18.9,16.3,13.0,16.0,12.9,
"Incidence","DE Hessen","Female","Thyroid gland","0-29","","","","","","","","","","","","","","","",3.6,3.6,2.7,3.3,3.8,3.6,
"Incidence","DE Hessen","Female","Melanoma of the skin","60+","","","","","","","","","","","","","","","",42.8,47.4,43.0,45.3,54.9,45.9,
"Incidence","DE Hessen","Female","Melanoma of the skin","30-59","","","","","","","","","","","","","","","",28.3,27.3,27.2,26.3,29.1,27.1,
"Incidence","DE Hessen","Female","Melanoma of the skin","0-29","","","","","","","","","","","","","","","",6.2,4.9,4.9,5.1,4.4,4.7,
"Incidence","DE Hessen","Female","Lung","60+","","","","","","","","","","","","","","","",94.2,102.2,98.5,98.9,107.4,116.5,
"Incidence","DE Hessen","Female","Lung","30-59","","","","","","","","","","","","","","","",24.4,22.3,22.9,22.9,22.1,21.8,
"Incidence","DE Hessen","Female","Lung","0-29","","","","","","","","","","","","","","","",0.0,0.1,0.1,0.0,0.1,0.2,
"Incidence","DE Hessen","Female","Pancreas","60+","","","","","","","","","","","","","","","",61.5,69.6,62.0,69.1,66.5,64.6,
"Incidence","DE Hessen","Female","Pancreas","30-59","","","","","","","","","","","","","","","",4.9,7.3,4.4,5.2,4.8,3.9,
"Incidence","DE Hessen","Female","Pancreas","0-29","","","","","","","","","","","","","","","",0.0,0.1,0.1,0.2,0.0,0.1,
"Incidence","DE Hessen","Female","Stomach","60+","","","","","","","","","","","","","","","",50.0,41.4,42.8,44.4,40.6,39.3,
"Incidence","DE Hessen","Female","Stomach","30-59","","","","","","","","","","","","","","","",6.8,5.1,4.1,4.9,4.7,4.4,
"Incidence","DE Hessen","Female","Stomach","0-29","","","","","","","","","","","","","","","",0.1,0.1,0.3,0.0,0.0,0.0,
"Mortality","DE Bavaria","Male","Leukaemia","60+","","","","","","","","","","",34.5,36.0,37.3,40.5,34.9,35.4,34.5,36.1,37.4,37.6,"",
"Mortality","DE Bavaria","Male","Leukaemia","30-59","","","","","","","","","","",3.3,2.8,2.9,3.0,3.2,2.5,2.6,2.4,2.7,2.7,"",
"Mortality","DE Bavaria","Male","Leukaemia","0-29","","","","","","","","","","",1.0,0.5,0.8,1.1,1.3,0.7,0.5,0.5,0.8,0.9,"",
"Mortality","DE Bavaria","Male","Thyroid gland","60+","","","","","","","","","","",3.0,2.4,3.6,2.4,3.0,3.0,2.3,3.6,3.1,3.4,"",
"Mortality","DE Bavaria","Male","Thyroid gland","30-59","","","","","","","","","","",0.3,0.4,0.3,0.2,0.3,0.2,0.3,0.1,0.4,0.3,"",
"Mortality","DE Bavaria","Male","Thyroid gland","0-29","","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",
"Mortality","DE Bavaria","Male","Melanoma of the skin","60+","","","","","","","","","","",13.3,15.0,10.9,12.5,12.4,13.4,14.3,13.4,14.5,14.8,"",
"Mortality","DE Bavaria","Male","Melanoma of the skin","30-59","","","","","","","","","","",2.9,2.5,2.2,2.1,3.1,2.1,2.3,2.3,2.2,2.3,"",
"Mortality","DE Bavaria","Male","Melanoma of the skin","0-29","","","","","","","","","","",0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.0,0.2,0.2,"",
"Mortality","DE Bavaria","Male","Lung","60+","","","","","","","","","","",218.1,218.7,207.9,212.0,203.9,210.3,206.5,205.6,200.9,195.9,"",
"Mortality","DE Bavaria","Male","Lung","30-59","","","","","","","","","","",22.9,21.5,20.9,23.1,22.3,21.6,20.1,18.6,21.1,19.8,"",
"Mortality","DE Bavaria","Male","Lung","0-29","","","","","","","","","","",0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,"",
"Mortality","DE Bavaria","Male","Pancreas","60+","","","","","","","","","","",61.1,60.6,62.8,66.4,63.6,69.9,68.5,67.2,74.4,71.0,"",
"Mortality","DE Bavaria","Male","Pancreas","30-59","","","","","","","","","","",5.9,6.2,5.8,5.9,6.8,6.8,5.9,6.6,5.5,5.9,"",
"Mortality","DE Bavaria","Male","Pancreas","0-29","","","","","","","","","","",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,"",
"Mortality","DE Bavaria","Male","Stomach","60+","","","","","","","","","","",65.0,63.8,63.0,55.7,55.9,50.9,53.1,50.3,51.6,50.5,"",
"Mortality","DE Bavaria","Male","Stomach","30-59","","","","","","","","","","",5.1,5.2,4.7,5.2,4.7,5.2,4.4,5.8,5.5,5.2,"",
"Mortality","DE Bavaria","Male","Stomach","0-29","","","","","","","","","","",0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,"",
"Mortality","DE Bavaria","Female","Leukaemia","60+","","","","","","","","","","",25.2,25.8,27.8,28.1,24.0,23.4,24.7,25.2,25.7,24.2,"",
"Mortality","DE Bavaria","Female","Leukaemia","30-59","","","","","","","","","","",2.4,2.0,2.5,1.9,2.4,2.1,2.4,1.7,2.0,2.0,"",
"Mortality","DE Bavaria","Female","Leukaemia","0-29","","","","","","","","","","",0.7,0.3,0.8,0.6,0.6,0.4,0.7,0.5,0.4,0.4,"",
"Mortality","DE Bavaria","Female","Thyroid gland","60+","","","","","","","","","","",5.1,3.5,4.2,4.6,3.8,4.3,3.9,4.3,3.5,3.4,"",
"Mortality","DE Bavaria","Female","Thyroid gland","30-59","","","","","","","","","","",0.6,0.2,0.3,0.4,0.1,0.3,0.3,0.3,0.2,0.1,"",
"Mortality","DE Bavaria","Female","Thyroid gland","0-29","","","","","","","","","","",0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,"",
"Mortality","DE Bavaria","Female","Melanoma of the skin","60+","","","","","","","","","","",7.7,8.2,7.2,7.9,8.2,9.0,10.2,7.1,7.0,9.4,"",
"Mortality","DE Bavaria","Female","Melanoma of the skin","30-59","","","","","","","","","","",1.7,1.2,1.8,1.6,1.8,2.1,1.7,1.9,1.8,1.7,"",
"Mortality","DE Bavaria","Female","Melanoma of the skin","0-29","","","","","","","","","","",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,"",
"Mortality","DE Bavaria","Female","Lung","60+","","","","","","","","","","",55.1,60.9,60.1,62.1,64.7,68.3,68.6,77.6,80.2,80.1,"",
"Mortality","DE Bavaria","Female","Lung","30-59","","","","","","","","","","",10.1,10.2,12.4,12.5,11.5,12.9,12.5,12.1,12.3,13.3,"",
"Mortality","DE Bavaria","Female","Lung","0-29","","","","","","","","","","",0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,"",
"Mortality","DE Bavaria","Female","Pancreas","60+","","","","","","","","","","",51.1,51.1,57.7,58.4,55.7,59.4,60.1,63.3,63.9,61.3,"",
"Mortality","DE Bavaria","Female","Pancreas","30-59","","","","","","","","","","",3.8,3.6,3.3,3.3,3.1,3.6,3.9,4.3,3.1,3.7,"",
"Mortality","DE Bavaria","Female","Pancreas","0-29","","","","","","","","","","",0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,"",
"Mortality","DE Bavaria","Female","Stomach","60+","","","","","","","","","","",46.3,43.2,42.9,40.7,39.4,35.7,34.6,35.6,32.2,32.5,"",
"Mortality","DE Bavaria","Female","Stomach","30-59","","","","","","","","","","",3.4,3.1,2.9,3.2,3.6,3.4,3.8,2.8,3.1,2.6,"",
"Mortality","DE Bavaria","Female","Stomach","0-29","","","","","","","","","","",0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.1,"",
"Mortality","DE Berlin et al","Male","Leukaemia","60+","","","","","",34.8,33.3,35.1,35.0,38.3,34.5,35.3,36.2,34.5,33.9,37.0,39.0,38.5,40.0,38.9,40.5,
"Mortality","DE Berlin et al","Male","Leukaemia","30-59","","","","","",4.1,4.0,3.8,4.0,3.1,2.6,2.8,2.6,2.5,2.1,2.9,3.3,2.5,2.9,3.0,2.8,
"Mortality","DE Berlin et al","Male","Leukaemia","0-29","","","","","",0.8,1.0,0.6,1.1,1.0,0.8,0.5,0.8,0.8,1.2,0.3,0.3,0.8,0.8,0.2,0.4,
"Mortality","DE Berlin et al","Male","Thyroid gland","60+","","","","","",2.8,2.3,3.7,2.9,2.6,2.5,2.2,2.4,2.3,2.3,2.5,2.6,3.1,3.3,2.4,3.0,
"Mortality","DE Berlin et al","Male","Thyroid gland","30-59","","","","","",0.5,0.4,0.4,0.5,0.4,0.5,0.2,0.3,0.5,0.3,0.4,0.3,0.4,0.6,0.4,0.4,
"Mortality","DE Berlin et al","Male","Thyroid gland","0-29","","","","","",0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mortality","DE Berlin et al","Male","Melanoma of the skin","60+","","","","","",10.7,7.6,10.0,9.7,10.0,9.4,9.4,9.8,12.4,12.3,10.4,12.4,12.9,14.2,11.8,13.8,
"Mortality","DE Berlin et al","Male","Melanoma of the skin","30-59","","","","","",2.0,2.1,2.1,2.6,2.0,2.0,2.0,1.4,2.2,1.9,2.4,1.8,2.9,2.5,1.8,1.9,
"Mortality","DE Berlin et al","Male","Melanoma of the skin","0-29","","","","","",0.1,0.1,0.2,0.1,0.0,0.1,0.2,0.2,0.1,0.1,0.2,0.3,0.1,0.2,0.0,0.0,
"Mortality","DE Berlin et al","Male","Lung","60+","","","","","",340.0,329.0,325.2,313.6,305.0,297.5,279.9,285.6,280.6,285.0,274.2,274.7,263.7,266.5,262.8,257.9,
"Mortality","DE Berlin et al","Male","Lung","30-59","","","","","",33.3,32.5,31.2,28.9,25.9,26.8,27.0,26.3,28.2,26.5,30.5,30.5,31.8,33.2,33.5,33.0,
"Mortality","DE Berlin et al","Male","Lung","0-29","","","","","",0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.2,
"Mortality","DE Berlin et al","Male","Pancreas","60+","","","","","",55.0,60.2,55.3,60.4,58.3,55.8,59.8,66.0,66.6,67.3,69.3,67.6,70.7,76.8,77.1,76.4,
"Mortality","DE Berlin et al","Male","Pancreas","30-59","","","","","",6.7,7.3,7.7,7.6,7.8,6.5,7.8,7.2,9.6,7.1,8.3,9.2,9.0,8.3,9.8,9.9,
"Mortality","DE Berlin et al","Male","Pancreas","0-29","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,
"Mortality","DE Berlin et al","Male","Stomach","60+","","","","","",101.2,91.5,95.1,89.7,82.2,79.8,76.0,71.7,72.1,67.8,67.9,68.5,63.5,64.4,67.1,57.8,
"Mortality","DE Berlin et al","Male","Stomach","30-59","","","","","",7.5,8.7,7.2,7.2,7.4,7.4,8.0,7.9,8.1,7.3,7.0,8.3,7.0,5.9,8.0,7.2,
"Mortality","DE Berlin et al","Male","Stomach","0-29","","","","","",0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.2,0.1,0.1,
"Mortality","DE Berlin et al","Female","Leukaemia","60+","","","","","",25.6,22.9,22.9,23.2,26.1,24.4,23.6,25.6,26.0,23.7,25.8,26.4,25.9,24.9,26.1,28.0,
"Mortality","DE Berlin et al","Female","Leukaemia","30-59","","","","","",2.8,2.8,2.6,2.9,2.2,2.3,2.3,2.5,1.8,2.2,2.3,2.1,2.6,2.8,2.1,1.8,
"Mortality","DE Berlin et al","Female","Leukaemia","0-29","","","","","",0.7,0.6,0.7,0.6,0.4,0.7,0.8,0.4,0.7,0.3,0.3,0.2,0.6,0.3,0.5,0.3,
"Mortality","DE Berlin et al","Female","Thyroid gland","60+","","","","","",5.4,5.9,3.8,4.8,3.3,3.8,3.7,3.8,4.5,3.9,3.6,4.1,3.3,3.4,2.9,4.6,
"Mortality","DE Berlin et al","Female","Thyroid gland","30-59","","","","","",0.5,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.1,0.4,0.3,0.4,
"Mortality","DE Berlin et al","Female","Thyroid gland","0-29","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,
"Mortality","DE Berlin et al","Female","Melanoma of the skin","60+","","","","","",6.4,6.1,5.6,5.8,7.0,6.7,5.4,6.4,6.4,6.8,7.5,7.2,6.5,8.4,6.6,7.1,
"Mortality","DE Berlin et al","Female","Melanoma of the skin","30-59","","","","","",1.9,1.1,1.4,1.5,1.9,1.2,1.8,1.5,1.3,1.7,1.5,1.4,2.0,1.4,1.2,1.6,
"Mortality","DE Berlin et al","Female","Melanoma of the skin","0-29","","","","","",0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,
"Mortality","DE Berlin et al","Female","Lung","60+","","","","","",51.6,54.9,55.7,54.5,52.2,55.8,56.6,61.0,57.4,62.4,62.1,61.0,65.1,69.3,70.4,71.6,
"Mortality","DE Berlin et al","Female","Lung","30-59","","","","","",6.3,7.6,7.8,6.3,7.5,7.7,7.6,9.2,9.1,10.1,10.9,12.2,12.7,13.3,13.7,14.4,
"Mortality","DE Berlin et al","Female","Lung","0-29","","","","","",0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.2,
"Mortality","DE Berlin et al","Female","Pancreas","60+","","","","","",47.0,52.3,48.0,48.8,52.5,49.8,49.8,49.9,53.1,58.7,58.4,54.2,59.6,63.4,60.4,63.3,
"Mortality","DE Berlin et al","Female","Pancreas","30-59","","","","","",4.4,4.5,4.8,4.1,3.9,4.4,3.8,4.0,4.4,3.5,4.9,5.2,5.3,5.0,4.2,5.6,
"Mortality","DE Berlin et al","Female","Pancreas","0-29","","","","","",0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Mortality","DE Berlin et al","Female","Stomach","60+","","","","","",65.2,59.9,53.7,51.4,50.4,51.2,44.9,44.8,42.9,40.1,36.8,38.7,37.5,37.8,37.9,33.6,
"Mortality","DE Berlin et al","Female","Stomach","30-59","","","","","",5.4,4.9,4.7,4.8,4.7,5.1,4.6,4.6,4.5,4.4,5.0,5.2,4.0,4.8,3.7,3.6,
"Mortality","DE Berlin et al","Female","Stomach","0-29","","","","","",0.2,0.1,0.1,0.0,0.1,0.4,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.1,
"Mortality","DE Bremen","Male","Leukaemia","60+","","","","","","","",38.4,17.2,38.0,45.6,31.3,32.4,44.2,43.7,28.9,44.0,37.1,30.4,37.6,"",
"Mortality","DE Bremen","Male","Leukaemia","30-59","","","","","","","",2.7,2.1,2.1,2.1,2.1,2.1,0.7,0.7,0.7,4.3,2.9,2.9,2.9,"",
"Mortality","DE Bremen","Male","Leukaemia","0-29","","","","","","","",1.0,1.0,1.0,0.0,0.0,0.0,0.9,0.9,1.0,1.0,1.0,0.0,0.0,"",
"Mortality","DE Bremen","Male","Thyroid gland","60+","","","","","","","",0.0,2.9,1.4,0.0,0.0,5.4,1.3,2.6,2.6,2.6,2.6,0.0,2.5,"",
"Mortality","DE Bremen","Male","Thyroid gland","30-59","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.0,0.7,"",
"Mortality","DE Bremen","Male","Thyroid gland","0-29","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",
"Mortality","DE Bremen","Male","Melanoma of the skin","60+","","","","","","","",3.0,1.4,1.4,1.4,9.5,12.2,9.4,19.9,10.5,15.6,19.2,24.1,13.8,"",
"Mortality","DE Bremen","Male","Melanoma of the skin","30-59","","","","","","","",0.0,0.0,0.0,0.0,0.0,1.4,2.8,2.1,0.7,0.0,3.6,1.4,2.9,"",
"Mortality","DE Bremen","Male","Melanoma of the skin","0-29","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",
